region,year,month,profit
South,2015,11,7.9527
South,2015,11,156.751
South,2015,11,5.3392
South,2015,11,290.3016
South,2015,1,30.7818
South,2015,1,0
South,2015,1,9.3312
South,2015,1,8.34
South,2015,1,0
South,2015,1,4.4712
South,2015,1,52.6344
Central,2016,11,2.1476
East,2018,6,67.1139
East,2018,6,9.7812
West,2017,5,1.0166
West,2017,5,21.5397
Central,2017,9,-7.7748
Central,2017,9,-300.735
South,2018,11,39.55
South,2018,11,157.3632
Central,2018,5,81.432
Central,2018,5,411.7365
Central,2018,5,158.7519
Central,2018,5,95.4612
Central,2018,5,7.3206
East,2018,4,35.3626
East,2018,4,36.813
East,2017,6,7.0218
East,2017,6,364.4595
East,2017,6,5.1294
East,2017,6,20.7808
South,2015,12,-0.8558
South,2016,6,31.198
Central,2015,11,0
Central,2015,11,-121.8735
Central,2015,11,1.9926
Central,2015,11,5.1012
Central,2015,11,-3.9624
West,2017,4,2.598
West,2015,4,23.028
West,2015,4,5.715
West,2018,4,2.7166
West,2018,4,38.025
West,2018,12,1.0842
West,2018,12,6.704
West,2018,12,10.4496
West,2018,12,8.6715
Central,2015,12,12.4416
East,2018,10,3919.9888
East,2018,10,647.892
East,2018,10,28.755
East,2018,10,0.5299
East,2018,11,9.1296
East,2018,11,-935.9595
East,2018,11,-7.48
Central,2016,9,7.0218
West,2018,5,17.1828
West,2018,5,4.2624
West,2018,5,24.858
South,2016,7,0.7392
South,2016,7,-5.784
West,2016,8,61.389
East,2018,6,9.3296
East,2018,6,4.2666
East,2018,6,16.6764
East,2018,6,143.04
South,2016,2,2.999
Central,2017,12,67.4424
South,2017,4,4.1391
South,2017,4,6.2856
Central,2015,9,23.6529
Central,2015,9,20.1207
Central,2015,9,6.2208
Central,2015,9,213.6888
Central,2015,9,28.3095
West,2017,9,19.998
West,2018,9,3.5022
West,2018,9,4.2717
West,2018,9,80.7912
West,2018,9,77.5764
West,2018,9,8.9544
West,2018,9,65.435
West,2018,9,7.056
West,2017,8,5.1042
West,2016,12,99.432
East,2018,11,494.9725
East,2018,11,35.982
Central,2018,4,4.2048
South,2017,5,1.2948
South,2017,5,-142.071
South,2017,5,-2.0108
Central,2017,10,20.8719
Central,2017,10,9.5688
West,2016,8,4.5882
West,2016,8,29.6688
East,2015,9,79.8912
East,2015,9,212.1876
East,2015,9,12.838
East,2015,9,238.653
West,2018,12,79.8912
South,2018,11,0.7665
South,2018,11,4.3584
West,2015,6,-8.1312
West,2015,6,-16.776
Central,2018,1,7.056
Central,2018,1,111.591
Central,2018,1,42.0744
Central,2018,1,152.0883
Central,2018,1,49.497
West,2018,6,101.5794
South,2017,9,29.985
South,2017,9,-2.4564
Central,2017,8,-6.567
West,2016,11,7.065
Central,2015,6,1.64
East,2018,12,-4.455
West,2017,8,5.6115
West,2017,8,8.1432
West,2017,1,37.366
South,2015,10,4.0383
East,2017,2,10.6232
South,2015,3,-16.426
South,2015,3,-1811.0784
South,2015,3,7.4816
South,2015,3,1.002
South,2015,3,8.0766
South,2015,3,5.9175
South,2015,3,15.294
East,2015,5,56.9772
East,2018,7,17.238
West,2018,6,4.3368
West,2018,6,9.3312
West,2018,6,92.2368
West,2016,1,81.8496
West,2016,1,215.9973
South,2016,12,-8.9796
East,2018,10,9.1776
East,2018,7,22.2444
South,2015,4,37.797
West,2016,12,5.56
East,2015,12,62.3904
South,2018,8,15.1158
East,2015,9,109.6113
West,2018,12,33.5772
Central,2015,12,-14.3856
South,2015,11,2.7222
South,2015,11,5.096
South,2017,4,12.18
West,2015,10,6.7915
West,2015,10,31.0856
East,2018,11,-71.994
East,2018,11,-140.1408
East,2018,12,-1.3128
East,2018,12,94.4937
West,2018,2,1.7901
West,2018,2,343.9828
West,2018,2,21.506
East,2015,7,19.9746
East,2015,7,2.1762
West,2016,2,23.0864
East,2016,11,19.8716
East,2016,11,56.9943
East,2016,11,43.1904
South,2018,4,9.5448
South,2018,4,1.5588
East,2017,2,17.52
West,2015,11,13.4292
West,2016,6,100.4796
West,2016,6,47.241
South,2018,8,21.9978
East,2015,5,-130.0104
Central,2016,11,-1.3584
South,2016,12,-6.0324
West,2015,6,73.194
West,2015,8,110.0528
West,2015,5,22.5296
West,2016,4,2.224
West,2016,4,129.348
West,2016,4,68.5965
West,2016,4,419.8185
West,2016,4,5.8604
East,2017,6,71.991
South,2017,3,31.5372
South,2017,3,125.1432
West,2015,5,23.232
West,2018,10,0.4356
West,2018,10,36.917
East,2018,6,-7.5768
East,2018,6,-23.8855
East,2018,6,0.6696
East,2018,1,3.8682
East,2018,1,312.676
Central,2016,4,-80.48
Central,2016,4,-0.6265
Central,2016,4,1.7991
Central,2017,9,14.17
South,2018,12,5.7312
Central,2017,11,24.2256
East,2018,11,3.6288
West,2017,10,1.5444
West,2016,12,4.5738
West,2016,7,-13.7976
South,2018,4,6.216
South,2018,4,0.7425
East,2018,5,29.6
Central,2018,11,9.68
Central,2017,11,74.8142
East,2017,11,-15.992
East,2017,10,-15.5844
West,2016,9,0
West,2016,9,2.528
Central,2015,12,-24.803
Central,2015,12,1.4406
Central,2015,12,-23.976
Central,2015,9,7.5284
Central,2015,9,10.881
Central,2015,9,3.1104
West,2015,4,94.0702
West,2015,4,38.3572
West,2015,4,6.5569
West,2015,4,-18.147
South,2018,10,4.1416
South,2018,10,18.7812
South,2018,10,70.008
South,2017,10,78.396
West,2016,11,1.773
West,2018,11,17.3754
West,2016,5,5.778
West,2016,5,11.556
Central,2016,9,-2.0364
West,2016,7,0.471
West,2016,7,6.2208
West,2016,7,56.392
West,2016,7,28.0784
Central,2016,11,84.5154
Central,2016,11,76.0878
Central,2016,11,36.3987
Central,2016,11,229.9908
Central,2016,11,111.1035
East,2016,9,51.57
East,2016,9,15.185
East,2016,9,27.3592
East,2016,9,315.7404
West,2017,5,2.352
West,2017,5,7.4694
West,2017,12,22.6782
Central,2018,9,0.558
Central,2018,9,-2.974
Central,2015,9,10.56
Central,2015,9,-97.2312
Central,2015,9,-4.3584
Central,2015,9,1.1016
East,2017,4,37.9176
East,2017,4,6.291
West,2015,11,-94.333
West,2015,11,54.5916
South,2018,1,4.1769
South,2018,1,3.4368
West,2018,11,2.8314
West,2018,11,9.3312
West,2018,11,39.52
South,2017,6,-27.828
East,2016,9,31.2858
South,2015,3,284.98
South,2018,8,83.2097
Central,2018,3,-32.3388
East,2018,5,-0.9012
Central,2017,12,-12.0784
East,2018,11,14.2632
Central,2018,9,-1143.891
South,2018,4,15.7584
South,2018,4,1264.7559
South,2017,11,-5.6994
East,2017,6,-12.9568
Central,2018,12,13.2352
East,2017,3,6.8908
East,2017,3,6.9088
East,2018,8,10.4754
Central,2018,7,9.5081
West,2017,8,100.196
South,2017,8,22.5296
South,2018,5,4.068
South,2018,5,98.2722
South,2018,5,374.6286
South,2018,5,140.5957
South,2018,8,7.2576
West,2018,8,8.4888
West,2018,8,22.6233
West,2018,8,15.4752
West,2018,8,9.2568
East,2017,11,-3.312
East,2017,11,-2.436
South,2018,6,1.068
West,2015,3,23.235
West,2015,3,-35.3646
West,2018,6,1.7466
West,2018,11,24.3384
East,2018,12,2.9547
West,2017,1,-5.7588
West,2017,1,76.0116
East,2017,1,24.5998
East,2017,1,1.3514
East,2017,1,91.7892
East,2017,9,12.72
East,2017,9,8.0997
Central,2015,2,-13.7175
West,2017,11,2.2272
West,2017,1,5.8914
West,2017,10,-34.641
West,2018,12,1.7901
West,2018,12,6.2208
West,2018,12,15.552
West,2018,11,10.7325
South,2015,4,12.99
South,2015,4,8.6112
East,2018,10,5.6644
East,2018,10,11.88
East,2018,10,29.0136
East,2018,10,10.0464
East,2015,3,20.853
South,2017,1,119.996
Central,2016,4,-5.8346
East,2016,9,59.998
East,2016,9,6.048
South,2018,9,84.9436
Central,2017,6,8.381
Central,2017,6,12.1758
Central,2017,6,-7.7094
West,2015,9,80.6312
Central,2018,11,3.852
Central,2018,11,14.148
Central,2018,11,6.8724
West,2018,2,0.2244
South,2016,11,24.196
East,2015,6,19.458
East,2015,6,10.5
East,2015,6,14.3376
Central,2016,10,35.2872
Central,2016,10,5.652
Central,2016,10,71.2692
Central,2018,8,0.372
East,2017,11,2.37
East,2017,11,3.9512
East,2017,11,12.3284
West,2018,1,6.465
Central,2016,11,-5.823
Central,2015,6,3.04
East,2015,9,8.955
East,2015,9,4.9497
South,2018,7,7.9128
Central,2018,6,2.5056
South,2018,10,-1306.5504
Central,2018,11,8.2992
West,2016,8,2.2302
West,2016,8,2.73
West,2016,8,10.8588
West,2017,12,13.7193
West,2017,12,26.9985
West,2017,12,16.1505
West,2017,12,15.3426
West,2017,12,116.5976
West,2017,12,89.159
West,2017,12,19.4376
Central,2018,3,14.5584
Central,2018,3,427.4368
Central,2018,3,40.5867
West,2018,11,76.2525
West,2018,11,7.106
West,2017,11,16.4647
West,2018,12,11.025
West,2018,12,22.736
West,2018,12,20.539
West,2018,11,13
West,2018,11,8.381
West,2018,11,9.9652
West,2018,11,-5.6784
West,2018,11,0.693
West,2018,11,50.3988
East,2017,8,11.5971
East,2018,6,31.941
East,2018,5,-1.9275
West,2016,12,7.2268
West,2016,12,21.5824
West,2018,4,9.3564
West,2018,4,19.2472
West,2018,12,9.1764
West,2018,12,6.074
West,2018,12,8.208
West,2018,12,7.584
Central,2015,12,-19.7712
Central,2015,12,3.0016
South,2018,11,43.7136
South,2018,11,10.8864
South,2018,11,-10.6176
South,2018,11,6.3612
South,2018,11,-51.8272
Central,2018,12,5.184
Central,2016,5,-31.3722
Central,2016,5,5.3784
East,2018,12,-2.6936
East,2018,10,5.8708
South,2015,1,87.3504
East,2016,6,7.2576
East,2016,6,4.3296
West,2015,7,13.8528
West,2015,7,3.8016
West,2015,12,4.6746
West,2015,12,-170.8038
South,2017,5,6.24
South,2017,5,9.2928
South,2017,5,152.118
West,2017,2,0.7794
West,2017,2,6.496
West,2017,2,8.983
West,2017,2,10.9368
East,2017,10,16.5888
Central,2018,3,421.0824
West,2017,9,18.684
West,2015,7,6.291
East,2015,6,8.4024
East,2015,6,0.6474
East,2015,6,28.7904
East,2015,6,-172.4925
East,2015,6,3.8864
East,2015,6,-7.2048
Central,2016,7,8.93
East,2018,12,10.43
East,2017,9,62.244
Central,2015,5,45.84
East,2018,10,253.372
West,2015,10,11.1384
South,2017,12,74.8098
East,2017,7,27.4365
West,2018,4,-9.223
West,2018,4,-3399.98
West,2018,4,-15.8356
West,2018,4,-6.5736
West,2018,4,7.2576
East,2016,9,-103.266
Central,2017,8,-172.7328
Central,2017,8,-10.1736
Central,2017,8,-33.32
West,2016,11,0.2016
West,2016,11,41.823
West,2016,11,22.0077
West,2016,11,28.65
Central,2018,11,-14.4588
East,2016,11,17.6418
East,2016,11,8.073
East,2018,4,0
West,2015,8,2.6936
South,2018,12,80.784
West,2017,3,25.198
Central,2016,9,31.0912
Central,2016,9,7.5371
West,2017,11,-12.196
East,2018,9,7.2576
South,2016,6,10.203
South,2016,6,16.6796
South,2016,6,15.764
South,2016,6,15.552
South,2016,6,10.7892
West,2018,10,-6.4233
South,2017,5,3.344
West,2018,9,6.2208
West,2018,9,10.8682
West,2018,9,256.784
East,2016,4,-255.7425
Central,2018,11,3.614
Central,2018,11,12.1348
West,2015,9,13.4925
South,2018,4,70.006
South,2018,4,129.6
West,2018,10,2.9372
West,2018,10,66.0736
West,2018,10,18.2112
Central,2017,4,134.654
Central,2017,4,2.4288
Central,2016,8,874.9875
West,2018,10,4.3008
West,2018,10,15.12
West,2018,10,10.3904
West,2018,10,-3.3506
East,2017,11,22.4955
Central,2018,3,9.744
East,2016,11,23.5116
East,2016,11,7.3479
West,2018,3,25.424
West,2018,3,49.2576
West,2018,3,88.1295
West,2018,3,21.7728
West,2018,3,138.3552
East,2018,11,82.992
East,2015,11,792.2691
East,2015,11,14.9292
East,2015,11,26.565
West,2017,1,28.615
West,2016,10,18.4548
Central,2015,7,38.5722
Central,2015,7,-14.229
Central,2015,7,-140.196
South,2015,8,168.1855
West,2015,5,10.5072
West,2018,9,6.2208
West,2018,9,15.1116
South,2018,5,28.0032
South,2018,5,134.9925
East,2015,1,1.3257
Central,2018,2,-417.0936
Central,2018,2,15.998
Central,2018,2,-2.6892
Central,2018,2,-32.48
South,2018,3,25.62
South,2018,3,188.1404
East,2017,3,219.4514
East,2017,3,129.5865
East,2017,3,79.8912
Central,2016,8,2.772
Central,2016,8,3.6288
Central,2016,8,2.256
Central,2016,8,-13.5548
Central,2018,4,11.592
Central,2018,4,-42.1096
East,2018,4,3.5022
East,2018,4,9.0882
East,2018,12,34.758
East,2018,12,50.8254
East,2017,12,-9.5018
East,2018,3,11.556
Central,2017,7,5.6956
Central,2018,7,26.1156
Central,2017,7,10.0878
Central,2017,7,4.8588
Central,2017,7,3.7436
Central,2017,7,25.4016
Central,2017,7,47.7306
West,2017,8,62.82
West,2017,8,63.873
West,2017,8,16.9932
West,2017,8,-39.9528
West,2017,8,11.206
West,2017,8,0.1588
South,2016,6,-182.637
South,2016,6,7.3008
South,2016,6,7.596
South,2016,6,-62.88
South,2016,6,-3.14
South,2016,6,51.8312
South,2016,6,21.1428
East,2018,9,-47.3968
East,2018,10,23.0864
West,2015,12,14.6718
West,2015,12,18.1176
West,2015,12,39.5
West,2015,12,70.5564
East,2015,8,6.3744
East,2015,8,4.4352
Central,2018,11,-45.84
Central,2018,11,-15.5904
Central,2018,11,8.499
Central,2018,11,4.4312
Central,2018,11,-0.5598
Central,2018,11,-17.7072
East,2016,4,90.8292
Central,2015,12,-336.6272
East,2018,9,35.988
East,2018,9,0.9282
Central,2017,9,-24.843
West,2018,2,108.3528
West,2018,2,7.7679
West,2015,6,10.368
East,2017,6,15.552
West,2015,12,14.904
East,2016,12,607.608
East,2016,12,-2639.9912
East,2016,12,-16.998
East,2016,12,69.0018
Central,2018,7,331.191
West,2015,8,33.7212
East,2016,8,-75.8304
East,2016,8,11.7
South,2017,3,5.9185
South,2017,3,-17.9964
Central,2015,9,-8.029
West,2015,9,7.3132
West,2015,9,36.8245
West,2015,9,15.4752
West,2015,9,17.334
West,2015,9,23.9984
West,2015,9,9.4815
Central,2017,10,32.16
South,2017,5,-24.392
South,2017,5,19.435
South,2018,12,11.2236
Central,2017,3,-4.752
Central,2017,3,0
Central,2017,3,1.5066
Central,2018,11,50.9208
West,2018,9,-240.784
West,2018,9,0.5998
East,2018,9,9.0048
East,2018,12,6.0726
Central,2018,9,5.022
East,2018,12,18.1908
East,2018,12,68.823
East,2018,11,4.4344
East,2018,11,355.4466
East,2018,11,473.6106
East,2018,11,157.8702
Central,2015,11,-44.2782
Central,2015,11,26.9526
East,2018,3,32.1678
West,2018,10,1.8
West,2018,10,7.5864
Central,2016,12,-3.168
East,2018,10,17.1574
Central,2018,6,-9.555
Central,2015,9,-6.0192
Central,2015,9,10.8864
South,2017,8,0.2334
East,2018,7,14.0859
West,2016,7,-2.244
South,2015,12,9.5968
East,2018,12,2.338
East,2015,5,3.7308
East,2015,5,5.7768
West,2015,11,60.1536
West,2015,11,4.2861
West,2015,11,11.1664
West,2015,11,28.008
West,2015,11,14.896
West,2015,11,18.3264
West,2017,1,118.983
West,2017,1,141.723
Central,2018,9,-18.5262
Central,2015,12,58.0272
East,2017,5,0.1692
East,2017,5,6.534
West,2015,5,52.4895
East,2018,11,314.2719
East,2018,11,124.9552
East,2016,10,45.528
East,2016,10,23.004
East,2016,10,32.4
West,2015,10,3.4104
West,2015,10,1.46
West,2015,10,107.46
West,2015,10,4.6284
West,2015,10,-3.264
West,2015,10,20.1579
West,2015,10,-0.0895
East,2015,8,18.767
East,2018,9,39.066
Central,2018,4,-44.2782
Central,2018,4,-4.7784
Central,2018,4,-7.7292
West,2017,4,1.3944
East,2017,1,-15.5826
East,2017,5,12.5832
East,2017,5,15.9516
Central,2017,11,-77.333
Central,2017,11,46.095
Central,2017,11,-2.8272
South,2017,2,14.677
Central,2018,3,-22.8956
Central,2018,12,24.7275
Central,2018,12,-18.1176
West,2018,12,4.908
West,2018,12,38.988
West,2018,12,5.2896
West,2017,9,9.9652
West,2017,9,7.9188
Central,2017,12,11.6795
East,2018,4,5.2773
Central,2018,10,2.205
Central,2018,10,2.0388
West,2017,7,9.4486
West,2017,7,6.03
South,2016,8,1.6704
South,2017,12,-29.3238
South,2017,12,-2.0622
Central,2017,11,-4.704
Central,2015,11,7.2576
West,2015,11,7.9984
West,2015,11,352.296
West,2015,11,72.432
South,2017,3,3.528
East,2015,10,10.5714
East,2015,10,67.9833
South,2015,5,33.995
South,2015,5,12.586
Central,2015,7,1.3068
Central,2015,7,2.6814
West,2016,12,3.4848
West,2016,2,22.941
West,2018,5,1049.985
Central,2018,11,9.12
Central,2018,11,9.1674
South,2015,4,7.5768
South,2015,4,8.4071
South,2015,4,6.3504
South,2015,4,6.6584
South,2015,4,83.281
South,2015,9,13.1956
South,2015,9,1.6762
East,2015,9,5.1816
East,2015,9,-46.8776
Central,2018,2,1.9024
Central,2018,2,3.4086
West,2016,12,49.4376
West,2016,12,9.855
West,2016,12,27.3735
West,2016,12,15.2208
Central,2017,10,3.504
West,2015,12,0.1191
West,2015,12,1.1136
Central,2015,8,-52.632
East,2018,10,767.2005
West,2016,5,-12.796
West,2016,5,13.7016
West,2018,11,215.9973
East,2015,11,-40.7976
East,2015,11,-16.3183
East,2015,11,-107.9928
East,2015,11,5.2773
East,2015,11,-1.4256
Central,2015,12,4.7067
Central,2015,12,19.0386
Central,2015,12,28.7679
Central,2015,12,-3.6576
Central,2015,12,14.3952
East,2016,11,8.8704
East,2017,9,78.435
South,2017,3,38.038
West,2015,9,45.294
West,2015,9,40.1702
East,2018,12,48.3136
East,2018,12,4.8519
Central,2018,11,-427.45
West,2016,9,48.9645
West,2016,9,4.2336
South,2015,12,3.8073
South,2015,12,74.574
South,2015,12,9.072
East,2016,7,20.682
East,2016,7,50.2398
Central,2015,11,-1480.0335
Central,2015,11,-1.9744
Central,2015,11,6.756
East,2017,11,1.6762
Central,2015,11,7.8735
Central,2015,11,95.0968
Central,2015,11,16.704
Central,2015,11,15.0735
Central,2018,12,28.497
Central,2018,12,19.755
Central,2018,12,-1.3208
West,2018,8,4.9648
West,2018,8,37.7972
West,2018,8,10.3936
West,2018,8,28.4364
West,2018,8,42.4647
West,2018,8,54.9504
West,2018,8,24.84
East,2017,8,60.2553
East,2017,8,20.967
East,2017,8,28.7856
East,2017,8,36.693
East,2017,8,5.256
East,2017,8,13.92
West,2016,8,13.208
Central,2018,11,-25.648
West,2017,8,5.6956
East,2017,12,18.8937
West,2015,9,20.5176
West,2015,9,31.494
East,2015,7,93.5948
East,2015,7,-4.032
East,2015,7,9.6048
East,2015,7,1.8288
Central,2018,9,26.4654
Central,2017,5,-5.2932
Central,2017,5,-3.272
East,2016,6,14.3068
East,2016,6,11.9952
East,2016,12,9.3312
East,2016,12,18.94
Central,2017,7,-3.8208
West,2015,1,3.4196
Central,2015,7,3.6288
Central,2015,7,4.485
West,2016,11,41.1684
West,2016,11,23.1168
Central,2017,3,244.6155
West,2018,9,9.0384
West,2018,9,48.288
East,2016,12,11.376
East,2016,12,8.098
East,2016,12,10.3896
East,2016,12,68.3332
Central,2017,11,6.9795
Central,2018,3,-22.0416
Central,2018,3,3.21
East,2018,11,7.2144
South,2018,8,0.9774
East,2016,12,8.7906
East,2016,12,29.8802
East,2016,12,539.925
South,2018,10,65.3256
South,2018,10,5.9175
South,2018,10,16.6788
West,2015,9,4.1916
South,2018,10,-33.636
South,2018,10,-36.1116
Central,2018,3,2.14
West,2015,8,68.198
West,2015,8,-43.8336
Central,2015,11,-11.0848
East,2018,6,15.012
Central,2018,7,13.3176
Central,2018,7,78.1954
Central,2018,7,12.4416
South,2015,11,9.9873
South,2015,11,301.968
South,2015,11,9.6975
South,2015,11,1.4742
Central,2016,5,-8.9152
Central,2018,5,-52.3392
West,2016,10,3.894
East,2015,4,-12.0588
East,2015,4,-12.0588
East,2015,4,-5.2416
East,2015,4,7.8176
East,2018,4,3.6288
West,2017,9,30.2634
West,2017,9,88.3948
West,2017,9,3.1752
West,2017,9,37.9848
West,2017,9,15.808
Central,2017,9,0.6516
Central,2017,9,3.8822
West,2016,4,3.267
West,2016,4,0.73
East,2016,9,60.392
West,2017,5,78.672
West,2017,5,84.0512
West,2017,5,7.896
West,2017,5,7.384
West,2017,5,41.88
Central,2016,9,6.858
Central,2016,9,394.268
East,2018,7,11.1024
East,2018,7,-103.9882
East,2018,7,11.223
West,2018,12,8.6391
West,2018,12,15.468
West,2018,12,28.8576
West,2018,12,8.3754
West,2018,12,5.4288
Central,2016,9,-22.62
Central,2016,9,-12.7512
Central,2018,10,-8.5008
Central,2018,10,-68.1302
Central,2018,10,4.0644
West,2016,11,1.5602
East,2015,3,49.014
East,2018,11,8.37
East,2018,11,626.185
East,2017,7,-16.9568
East,2016,6,5.083
East,2017,8,33.3136
South,2018,6,1.0904
West,2017,10,8.8608
West,2015,9,24.3595
West,2015,9,1.9698
South,2015,3,29.495
South,2016,3,27.0112
South,2016,7,0.8385
South,2017,2,5.5674
East,2018,9,19.7934
East,2018,9,2.2512
East,2018,9,-2.7552
East,2018,9,-412.6154
East,2018,9,14.3952
Central,2018,11,55.4364
East,2016,2,74.5654
South,2017,11,1.651
South,2018,12,7.1988
East,2016,9,16.1096
East,2016,9,83.2508
East,2016,9,125.469
South,2017,12,58.6872
South,2016,4,16.1838
West,2017,12,4.3524
East,2018,11,3.5256
East,2018,11,3.0134
Central,2018,3,47.0548
Central,2018,3,42.9914
Central,2017,11,15.378
Central,2017,11,69.92
West,2015,8,18.504
West,2017,12,2.4824
West,2017,12,21.7728
West,2017,12,-195.4788
South,2015,4,2.7776
South,2015,8,12.5216
South,2015,8,300.735
East,2017,10,3.564
South,2017,11,2.7144
South,2018,9,-29.4368
Central,2016,7,-5.8346
Central,2016,7,-92.7996
Central,2016,7,6.0025
Central,2016,7,48.9942
Central,2016,7,3.7692
Central,2018,9,12.96
Central,2018,9,275.478
Central,2018,9,181.176
West,2017,8,12.8256
West,2017,8,136.6176
West,2017,8,5.334
South,2017,9,71.3898
South,2017,9,30.2112
South,2017,9,7.776
Central,2018,4,3.6288
Central,2018,4,20.3439
East,2017,12,117.0104
Central,2015,6,20.1584
Central,2015,6,-5.088
Central,2015,6,-19.8744
Central,2015,6,5.4432
Central,2015,6,4.0768
Central,2015,6,-97.72
Central,2015,6,-127.372
Central,2018,9,-117.882
Central,2018,9,5.55
Central,2018,9,0.864
South,2017,12,8.619
South,2017,8,9.63
South,2017,8,4.4784
South,2017,8,64.0728
Central,2016,6,-525.6405
West,2016,4,4.3308
Central,2017,11,19.8254
Central,2017,11,109.3338
West,2017,9,29
Central,2017,11,49.3164
South,2018,12,257.9871
South,2018,12,0.7794
South,2018,12,22.0032
West,2017,6,-9.56
South,2016,9,10.896
Central,2017,5,6.206
East,2017,5,15.372
West,2015,4,97.1892
West,2015,4,3.8048
West,2015,4,3.5475
West,2015,4,3.6022
East,2017,6,0.4074
South,2015,5,14.985
South,2015,5,4.536
South,2015,5,9.499
South,2015,5,21.7728
East,2017,9,1.6056
East,2017,9,-7.098
East,2017,9,0.3674
Central,2018,12,10.3936
West,2017,6,1.5548
Central,2018,12,-74.7456
South,2018,10,4.2392
South,2018,10,10.518
South,2018,10,9.1638
South,2018,10,14.4
Central,2017,3,15.9348
Central,2017,3,-36.1764
Central,2017,3,60.9552
East,2018,11,-5.9808
West,2015,3,85.904
West,2015,3,37.797
West,2018,12,21.7728
West,2018,12,3.6714
West,2018,11,7.6272
West,2018,11,145.134
East,2018,9,0.6192
East,2018,9,-20.448
East,2018,9,-3.0576
East,2018,9,3.744
West,2017,7,6.2208
West,2017,7,0.0792
Central,2018,9,757.4112
Central,2017,9,-12.0064
West,2018,7,26.3912
West,2018,7,209.58
West,2018,7,742.632
West,2018,7,2.6973
Central,2018,6,1.8144
East,2018,8,5.4896
East,2018,8,26.2
South,2016,3,4.8924
West,2017,6,2.3177
South,2017,7,0.3156
South,2017,7,32.095
South,2017,7,388.8128
Central,2018,10,50.328
Central,2016,12,1.521
Central,2016,12,200.49
Central,2016,12,32.6332
Central,2016,12,1.2006
West,2018,9,1.6688
East,2018,9,-253.4337
South,2018,12,33.3124
South,2018,11,1.4112
South,2018,11,375.4296
Central,2015,12,0.365
East,2017,12,120.9468
East,2017,9,-17.9424
East,2017,9,3.752
East,2018,12,0.4264
East,2015,9,5.4432
East,2015,9,-4.8528
East,2015,9,5.0232
East,2015,9,-31.6204
West,2018,6,64.7892
East,2015,11,3.89
East,2015,11,-93.99
East,2018,8,133.152
East,2018,8,8.5544
East,2018,8,31.2528
East,2017,3,13.4964
East,2015,9,47.061
East,2015,4,2.5056
East,2015,4,2.0322
East,2015,4,-37.7332
Central,2017,11,16.7946
East,2016,12,5.5512
East,2016,12,10.5754
Central,2018,11,-71.8116
Central,2018,11,8.7384
East,2017,9,-7.3255
West,2018,9,152.495
West,2018,9,1.7375
West,2018,9,65.355
South,2017,9,4.5873
South,2017,9,5.5944
South,2015,9,52.688
South,2015,9,3.4368
West,2018,5,42.588
West,2018,5,1.0208
West,2018,5,1.395
West,2018,5,10.896
West,2015,8,643.9825
East,2018,11,9.801
East,2018,11,23.9778
West,2018,5,19.4656
West,2018,5,45.8064
East,2017,11,3.3408
East,2017,11,-9.7902
East,2017,11,32.4684
East,2017,11,7.5087
East,2017,11,29.302
East,2017,11,29.6576
East,2017,11,-29.0745
East,2017,11,-46.592
West,2015,12,152.495
West,2015,12,12.298
West,2015,12,1.1564
West,2015,12,50.414
West,2015,7,3.1752
West,2015,7,4.5008
South,2016,11,-2.0622
South,2016,11,18.5976
Central,2018,12,41.952
Central,2018,12,12.492
Central,2018,12,15.5112
Central,2018,12,7.0218
Central,2018,8,166.0698
South,2018,4,-21.294
East,2018,9,1.7055
South,2016,3,2.9322
South,2016,3,3.86
South,2016,3,1.4418
West,2017,7,4.225
Central,2017,6,94.4925
East,2018,7,93.204
East,2018,7,11.5432
West,2015,12,9.0636
West,2015,12,-4.5192
West,2015,12,19.755
West,2015,12,-2.6025
West,2015,12,-18.186
West,2015,12,3.744
West,2015,12,3.6288
West,2015,12,2.9304
East,2017,4,3.2161
East,2017,4,-100.92
East,2018,11,-30.9332
East,2018,11,16.1838
West,2016,12,14.6718
East,2016,7,5.056
East,2016,7,209.2365
East,2016,7,20.0156
East,2016,7,5.6994
East,2016,7,42.045
East,2016,7,32.5376
East,2016,7,70.5456
East,2016,7,21.4032
East,2016,7,28.4809
West,2017,12,3.2472
South,2017,5,-2.245
West,2018,6,7.92
West,2018,6,15.921
West,2016,10,-45.9954
West,2016,10,164.997
West,2016,10,30.786
West,2016,10,3.6784
South,2017,10,116.48
South,2017,10,32.6046
South,2017,10,14.2758
West,2016,11,22.7136
West,2015,9,5.955
East,2018,11,70.5028
East,2018,12,6.8274
East,2017,1,3.792
South,2016,6,6.9384
South,2016,6,8.8044
South,2016,6,314.9895
South,2016,6,15.552
Central,2018,3,6.5538
Central,2015,11,-2.5472
Central,2015,11,-87.1488
Central,2015,11,1.6632
West,2018,10,6.378
West,2018,10,100.4255
West,2018,4,3.462
West,2018,4,34.146
West,2015,12,21.0128
West,2015,12,45.294
Central,2018,5,1.1775
South,2017,9,0.1512
South,2017,9,107.4785
Central,2017,9,12.358
South,2017,12,7.3788
South,2017,12,6.939
Central,2018,11,2.232
West,2015,12,-459.9875
Central,2018,4,2.205
West,2017,12,3.51
East,2017,6,93.6988
East,2017,6,2.79
East,2017,6,6.8724
East,2016,9,7.9724
East,2016,9,0
East,2016,9,129.9974
East,2016,9,327.5818
Central,2017,8,4.1748
East,2016,9,31.8892
East,2018,3,12.1348
East,2018,3,16.5531
East,2017,3,62.3904
